,record_name,ref_code,ref_name,ref_unit
0,DIN -рейка оцинкованная ТН35-7.5 100 см (Chint),27.33.13.130.20.2.08.01-0001-000,"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм",100 шт
1,Анкерный элемент ТехноНиколь 8*45мм,25.94.11.190.01.7.15.01-1169-000,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН",шт
2,Анкер забивной М10 DRM 12x40 сталь,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
3,Анкер забивной М10/12x40,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
4,Анкер забивной М8 LAZ латунь,25.94.11.190.01.7.15.01-0036-000,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм",шт
5,Анкер забивной М10,25.94.11.01.7.15.01-0037,Анкер забивной М10,шт.
6,Анкер забивной М8,25.94.11.01.7.15.01-0036,Анкер забивной М8,шт.
7,"Анкерный стержень 15,0мм без покрытия 1,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
8,"Анкерный стержень 15,0мм без покрытия, неоцинкованный 2,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
9,"Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
10,Шпилька М8х1000 (DIN975) оцинкованная (поштучно),25.94.11.190.01.7.15.01-0043-000,"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм",шт
11,Химический Анкер на основе полиэстра 300 мл Akfix C900 (12шт в упк),20.52.10.190.14.1.06.06-1023-000,Анкер химический двухкомпонентный на основе винилэстеровой смолы,л
12,Анкер-шпилька HST3 M16x145 45/25,25.94.11.190.01.7.15.01-1470-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм",10 шт
13,Анкер-шпилька HILTI HSA M8*85 35/25,25.94.11.190.01.7.15.01-1464-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм",10 шт
14,2105859 Анкер-шпилька HST3 М16х145 45/25,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
15,Анкер-шпилька HST3 М16х145 45/25(срок постаки 4-6 недель),25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
16,Анкер для бетона с шестигранной головкой с воротником R-LX-14X080-HF-ZP гальваническое покрытие,25.94.11.190.01.7.15.01-1548-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм",100 шт
17,Забивной анкер M14/18*60,25.94.11.190.01.7.15.01-1533-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм",100 шт
18,Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
19,Анкер-шуруп HUS4-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
20,Арматура композитная АСК-6 Н бухта 50 м(срок постаки 1-2 раб дня),22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
21,Арматура стеклопластиковая АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
22,Аэратор кровельный ТехноНИКОЛЬ 160x460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
